,Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Rogers Park,42.00897000000003,-87.66618999999997,Morse Fresh Market,42.008086562847986,-87.66704093235545,Grocery Store
1,Rogers Park,42.00897000000003,-87.66618999999997,Rogers Park Social,42.0073603073387,-87.66626485580036,Bar
2,Rogers Park,42.00897000000003,-87.66618999999997,The Common Cup,42.00779721534203,-87.6679009525727,Coffee Shop
3,Rogers Park,42.00897000000003,-87.66618999999997,Lifeline Theatre,42.007372355621,-87.66628355736664,Theater
4,Rogers Park,42.00897000000003,-87.66618999999997,Rogers Park Provisions,42.0075280787486,-87.66619255417628,Gift Shop
5,Rogers Park,42.00897000000003,-87.66618999999997,J.B. Alberto's Pizza,42.007940574322475,-87.66506611131022,Pizza Place
6,Rogers Park,42.00897000000003,-87.66618999999997,Mayne Stage,42.00797479563167,-87.66513999294418,Concert Hall
7,Rogers Park,42.00897000000003,-87.66618999999997,Glenwood Sunday Market,42.00852528781693,-87.66625066859307,Farmers Market
8,Rogers Park,42.00897000000003,-87.66618999999997,Smack Dab,42.00929092917184,-87.66620111404463,Bakery
9,Rogers Park,42.00897000000003,-87.66618999999997,The Glenwood,42.00850235558669,-87.66627315503519,Bar
10,Rogers Park,42.00897000000003,-87.66618999999997,Fareast Kitchen,42.008542627523816,-87.66622569939332,Asian Restaurant
11,Rogers Park,42.00897000000003,-87.66618999999997,Loyola Park,42.011390144598955,-87.66236351537526,Park
12,Rogers Park,42.00897000000003,-87.66618999999997,Morse Gyros & Chicken,42.007862618352576,-87.66517779019013,Greek Restaurant
13,Rogers Park,42.00897000000003,-87.66618999999997,Noon Hour Grill,42.00754556105003,-87.66621873343492,Diner
14,Rogers Park,42.00897000000003,-87.66618999999997,XO Marshmallow,42.008928999999995,-87.661548,Café
15,Rogers Park,42.00897000000003,-87.66618999999997,Giordano's,42.00657570328827,-87.66151070594782,Pizza Place
16,Rogers Park,42.00897000000003,-87.66618999999997,Hira's Cafe,42.00793586916296,-87.66671834162916,Sushi Restaurant
17,Rogers Park,42.00897000000003,-87.66618999999997,Heartland Studio,42.009582938359124,-87.66622838845129,Theater
18,Rogers Park,42.00897000000003,-87.66618999999997,Dunkin',42.00778315926059,-87.66582811489538,Donut Shop
19,Rogers Park,42.00897000000003,-87.66618999999997,Sub Brothers,42.007885949071785,-87.66648867617852,American Restaurant
20,Rogers Park,42.00897000000003,-87.66618999999997,Subway,42.0125217,-87.6638713,Sandwich Place
21,Rogers Park,42.00897000000003,-87.66618999999997,Red Line Tap,42.00947765526058,-87.66623970786107,Dive Bar
22,Rogers Park,42.00897000000003,-87.66618999999997,Leona's,42.007775,-87.661256,Italian Restaurant
23,Rogers Park,42.00897000000003,-87.66618999999997,Family Dollar,42.0077475580478,-87.6670959795457,Discount Store
24,Rogers Park,42.00897000000003,-87.66618999999997,Shell,42.01251040783097,-87.66380377382508,Gas Station
25,Rogers Park,42.00897000000003,-87.66618999999997,CTA - Morse,42.00808927606749,-87.66598515800713,Train Station
26,Rogers Park,42.00897000000003,-87.66618999999997,Taqueria Los Portales,42.00795945592219,-87.66669062539088,Mexican Restaurant
27,Rogers Park,42.00897000000003,-87.66618999999997,Pub 626,42.008004202999665,-87.66625902142195,American Restaurant
28,Rogers Park,42.00897000000003,-87.66618999999997,7-Eleven,42.0058138,-87.6662314,Convenience Store
29,Rogers Park,42.00897000000003,-87.66618999999997,The Cuckoo's Theatre Project,42.011233,-87.670014,Theater
30,West Ridge,41.99948000000006,-87.69265999999999,World Fresh Market,41.9977989654229,-87.69142134817655,Fruit & Vegetable Store
31,West Ridge,41.99948000000006,-87.69265999999999,Sabri Nihari,41.99771684070019,-87.69257002130401,Pakistani Restaurant
32,West Ridge,41.99948000000006,-87.69265999999999,Udupi Palace,41.9976164281161,-87.6940636917366,Indian Restaurant
33,West Ridge,41.99948000000006,-87.69265999999999,Tiffin Indian Kitchen,41.99775681812413,-87.69374205801385,Indian Restaurant
34,West Ridge,41.99948000000006,-87.69265999999999,Karahi Corner,41.997834999999995,-87.696844,Pakistani Restaurant
35,West Ridge,41.99948000000006,-87.69265999999999,Tahoora,41.99771925355822,-87.68948767343142,Indian Restaurant
36,West Ridge,41.99948000000006,-87.69265999999999,Khan B.B.Q.,41.99767732225204,-87.6901532165875,Indian Restaurant
37,West Ridge,41.99948000000006,-87.69265999999999,Clifton Grill,41.99812,-87.688719,Indian Restaurant
38,West Ridge,41.99948000000006,-87.69265999999999,Bundoo Khan,41.997413,-87.693748,Pakistani Restaurant
39,West Ridge,41.99948000000006,-87.69265999999999,Patel Brothers,41.99776858905524,-87.69528187776137,Grocery Store
40,West Ridge,41.99948000000006,-87.69265999999999,Hema's Kitchen,41.99768946149866,-87.69147872332468,Indian Restaurant
41,West Ridge,41.99948000000006,-87.69265999999999,Italian Express,41.99773503885772,-87.6878394633657,American Restaurant
42,West Ridge,41.99948000000006,-87.69265999999999,Fresh Farms International Market,41.997690597697755,-87.69587378945518,Grocery Store
43,West Ridge,41.99948000000006,-87.69265999999999,Kabul House Express,41.99778159171753,-87.68742715787783,Afghan Restaurant
44,West Ridge,41.99948000000006,-87.69265999999999,Spinzer Fast Food,41.997495,-87.688885,Pakistani Restaurant
45,West Ridge,41.99948000000006,-87.69265999999999,Mysore Woodlands,41.997712703515234,-87.69431769229608,Indian Restaurant
46,West Ridge,41.99948000000006,-87.69265999999999,Pak Sweets,41.99782016597843,-87.68858378710125,Indian Restaurant
47,West Ridge,41.99948000000006,-87.69265999999999,Sukhadia's,41.9976516592843,-87.69471705326654,Indian Restaurant
48,West Ridge,41.99948000000006,-87.69265999999999,Arya Bhavan,41.99771241166432,-87.69277331827627,Indian Restaurant
49,West Ridge,41.99948000000006,-87.69265999999999,Uru-Swati,41.99754575876659,-87.69588976009699,Indian Restaurant
50,West Ridge,41.99948000000006,-87.69265999999999,Kamdar Plaza,41.997667974747834,-87.6964921176247,Grocery Store
51,West Ridge,41.99948000000006,-87.69265999999999,The Family House,41.997508,-87.687651,Burmese Restaurant
52,West Ridge,41.99948000000006,-87.69265999999999,Serena Restaurant,41.997541999999996,-87.687961,Indian Restaurant
53,West Ridge,41.99948000000006,-87.69265999999999,JK Kabob House,41.998023759239096,-87.69487628814342,Indian Restaurant
54,West Ridge,41.99948000000006,-87.69265999999999,Punjabi Dhaba,41.997633880912055,-87.6935364597328,Indian Restaurant
55,West Ridge,41.99948000000006,-87.69265999999999,Patel's Cafe,41.99772305109895,-87.69485663973329,Juice Bar
56,West Ridge,41.99948000000006,-87.69265999999999,Annapurna,41.99772313376775,-87.69512133825114,Indian Restaurant
57,West Ridge,41.99948000000006,-87.69265999999999,Dunkin',41.9955946,-87.6901526,Donut Shop
58,West Ridge,41.99948000000006,-87.69265999999999,Wendy’s,41.99679299434029,-87.69016394022401,Fast Food Restaurant
59,West Ridge,41.99948000000006,-87.69265999999999,King Sweets,41.99776957697751,-87.68788048203253,Dessert Shop
60,West Ridge,41.99948000000006,-87.69265999999999,India Garden,41.9976916001938,-87.69428974288886,Indian Restaurant
61,West Ridge,41.99948000000006,-87.69265999999999,Sagar Cafe,41.99766241277401,-87.69335488425601,Indian Restaurant
62,West Ridge,41.99948000000006,-87.69265999999999,Curry Bowl,41.997654,-87.694724,Indian Restaurant
63,West Ridge,41.99948000000006,-87.69265999999999,Karachi Chat House,41.997732,-87.687637,Pakistani Restaurant
64,West Ridge,41.99948000000006,-87.69265999999999,CMSA Football at Warren Park,42.00096298818027,-87.68729209899902,Football Stadium
65,Uptown,41.96538000000004,-87.66935999999998,Tiztal Cafe,41.96621,-87.66657,Breakfast Spot
66,Uptown,41.96538000000004,-87.66935999999998,Thai on Clark,41.96649569544705,-87.66706270445825,Thai Restaurant
67,Uptown,41.96538000000004,-87.66935999999998,Rayan's Liquors,41.96514171934393,-87.66666277442471,Liquor Store
68,Uptown,41.96538000000004,-87.66935999999998,Fin Sushi Bar,41.96529341530452,-87.67271573147649,Sushi Restaurant
69,Uptown,41.96538000000004,-87.66935999999998,Gorilla Sushi Bar,41.96583191533914,-87.66687191560105,Sushi Restaurant
70,Uptown,41.96538000000004,-87.66935999999998,Carol’s Pub,41.966994990799506,-87.66698872499798,Bar
71,Uptown,41.96538000000004,-87.66935999999998,Spacca Napoli Pizzeria,41.96332463855048,-87.67373918428443,Pizza Place
